Business Contract Tracking Register,,,,,,,,,,,,,
Mock data for illustration purposes only — replace with actual contract records,,,,,,,,,,,,,
,,,,,,,,,,,,,
No.,Types of Services,Name of Contract,Country,Partner,Customer,Note,Effective Date,Start Date,End Date,Responsible By,Remark,Status,Cost of Contract
1012,Logistics,Customs Brokerage Agreement #2011,United States,Crown Systems Inc.,Internal - Finance Dept.,Exclusive regional distribution rights included,28-มิ.ย.-2025,05-ก.ค.-2025,01-พ.ย.-2026,Ravi W.,Vendor performance review scheduled,Negotiation in progress,"$1,599,500"
1013,Real Estate & Leasing,Equipment Leasing Agreement #2012,Indonesia,Falcon Solutions PT,Internal - Marketing Dept.,-,06-ส.ค.-2024,20-ส.ค.-2024,15-ก.ค.-2026,Ploy P.,Legal review in progress before renewal,Expired/Not renewed,"$3,511,400"
1014,IT Services,IT Helpdesk & Support Contract #2013,United Kingdom,Ivory Systems Ltd.,Internal - Admin Dept.,Service level agreement reviewed annually,20-ม.ค.-2024,20-ม.ค.-2024,24-ต.ค.-2026,Carlos O.,Budget approval pending for renewal,Negotiation in progress,"$1,810,100"
1015,Software Licensing,CRM Platform Subscription Agreement #2014,Malaysia,Beacon Consulting Sdn Bhd,Internal - Admin Dept.,Exclusive regional distribution rights included,17-ก.พ.-2024,17-ก.พ.-2024,04-เม.ย.-2027,Kanokwan C.,Flagged for cost optimization review,Renewed,"$676,100"
1016,Construction & Maintenance,Civil Works Contract #2015,Indonesia,Beacon Innovations PT,Internal - Supply Chain,"Auto-renew clause, 30 days notice required",11-ก.พ.-2024,11-ก.พ.-2024,10-ต.ค.-2026,Budi G.,No issues reported this cycle,Negotiation in progress,"$547,600"
1017,Construction & Maintenance,Building Renovation Contract #2016,Singapore,NorthStar Ventures Pte Ltd,Internal - IT Dept.,Includes quarterly business review meetings,31-พ.ค.-2024,07-มิ.ย.-2024,04-ต.ค.-2026,Chloe I.,Alternative vendors being benchmarked,Negotiation in progress,"$429,700"
1018,Travel & Events,Corporate Travel Management Agreement #2017,Taiwan,"Pacific Partners Co., Ltd.","Emerald Capital Co., Ltd.",-,30-มี.ค.-2025,06-เม.ย.-2025,11-ต.ค.-2026,Aiko C.,Vendor performance review scheduled,Upcoming renewal,"$358,800"
1019,Legal,Regulatory Filing Services #2018,Japan,Unity Capital K.K.,Zenith Holdings K.K.,"Multi-year framework agreement, reviewed yearly",16-เม.ย.-2021,16-เม.ย.-2021,28-ก.ย.-2024,Laura P.,Scope extension being discussed with partner,Expired/Not renewed,"$458,400"
1020,Legal,IP & Trademark Registration Services #2019,Hong Kong,Evergreen Services Ltd.,Internal - Supply Chain,Volume discount tier applies above threshold spend,26-มิ.ย.-2025,03-ก.ค.-2025,26-พ.ย.-2028,Ravi A.,Relationship manager reassigned this quarter,Renewed,"$413,200"
1021,Logistics,Freight Forwarding Contract #2020,United Kingdom,Emerald Industries Ltd.,Ivory Partners Ltd.,Pricing subject to annual CPI adjustment,08-พ.ค.-2025,08-พ.ค.-2025,27-ต.ค.-2026,Yuki A.,Vendor performance review scheduled,Negotiation in progress,"$365,800"
1022,Marketing,Digital Marketing Retainer #2021,United Kingdom,Orion Solutions Ltd.,Lumen Dynamics Ltd.,-,13-ก.ค.-2023,13-ก.ค.-2023,17-มิ.ย.-2027,Hiroshi M.,Budget approval pending for renewal,Renewed,"$84,000"
1023,Fleet & Transportation,Fleet Maintenance Agreement #2022,United Kingdom,Beacon Logistics Ltd.,Internal - E-commerce,Service level agreement reviewed annually,22-เม.ย.-2026,06-พ.ค.-2026,17-ธ.ค.-2028,Minji H.,-,Renewed,"$783,900"
1024,Construction & Maintenance,Elevator Maintenance Contract #2023,Singapore,Solace Industries Pte Ltd,Lumen Networks Pte Ltd,Volume discount tier applies above threshold spend,19-ม.ค.-2023,02-ก.พ.-2023,16-ธ.ค.-2026,Arjun E.,Budget approval pending for renewal,Negotiation in progress,"$1,268,300"
1025,Training & Development,Corporate Training Program Agreement #2024,Taiwan,"Granite Dynamics Co., Ltd.","Apex Dynamics Co., Ltd.","Multi-year framework agreement, reviewed yearly",01-พ.ย.-2023,08-พ.ย.-2023,07-ก.พ.-2027,Ahmed F.,Vendor performance review scheduled,Negotiation in progress,"$123,200"
1026,IT Services,Data Center Colocation Contract #2025,Myanmar,"Anchor Systems Co., Ltd.",Internal - Marketing Dept.,-,19-ธ.ค.-2024,26-ธ.ค.-2024,29-ก.ย.-2028,Wanida O.,Alternative vendors being benchmarked,Renewed,"$1,391,600"
1027,Printing & Publishing,Corporate Printing Services Agreement #2026,United Arab Emirates,NorthStar Partners LLC,Internal - Corporate Affairs,Service level agreement reviewed annually,11-พ.ค.-2022,25-พ.ค.-2022,06-มี.ค.-2025,Ploy B.,Budget approval pending for renewal,Expired/Not renewed,"$5,100"
1028,Logistics,Fleet Logistics Services Contract #2027,China,"Prime Trading Co., Ltd.","Atlas Ventures Co., Ltd.",Renewal contingent on performance KPIs,23-ส.ค.-2025,23-ส.ค.-2025,05-พ.ค.-2027,Laura O.,Budget approval pending for renewal,Renewed,"$539,300"
1029,Financial Services,Audit & Assurance Engagement #2028,China,"Unity Holdings Co., Ltd.","Vanguard Dynamics Co., Ltd.",Service level agreement reviewed annually,20-พ.ย.-2024,20-พ.ย.-2024,05-ธ.ค.-2026,Carlos E.,No issues reported this cycle,Negotiation in progress,"$644,900"
1030,Telecommunications,Corporate Mobile Plan Agreement #2029,United Kingdom,Crown Enterprises Ltd.,Internal - Corporate Affairs,Pricing subject to annual CPI adjustment,30-พ.ย.-2023,30-พ.ย.-2023,01-ต.ค.-2026,Laura M.,Vendor performance review scheduled,Upcoming renewal,"$382,500"
1031,Construction & Maintenance,HVAC Maintenance Agreement #2030,United Kingdom,BlueSky Holdings Ltd.,Internal - Corporate Affairs,Renewal contingent on performance KPIs,20-ก.ย.-2026,20-ก.ย.-2026,16-เม.ย.-2028,David K.,Flagged for cost optimization review,Renewed,"$1,724,400"
1032,Software Licensing,Cybersecurity Software License #2031,United States,Orion Solutions Inc.,Emerald Capital Inc.,"Multi-year framework agreement, reviewed yearly",20-มี.ค.-2023,20-มี.ค.-2023,12-ธ.ค.-2026,Nathan S.,Scope extension being discussed with partner,Negotiation in progress,"$2,479,000"
1033,Insurance,Cyber Liability Insurance Policy #2032,Myanmar,"Alliance Capital Co., Ltd.","Meridian Group Co., Ltd.","Auto-renew clause, 15 days notice required",30-ธ.ค.-2023,13-ม.ค.-2024,26-พ.ย.-2026,Tanawat F.,Budget approval pending for renewal,Upcoming renewal,"$376,900"
1034,Consulting,Business Process Improvement Engagement #2033,United Kingdom,Nova Consulting Ltd.,Internal - Finance Dept.,"Multi-year framework agreement, reviewed yearly",25-พ.ย.-2024,25-พ.ย.-2024,15-พ.ย.-2026,Michael K.,Relationship manager reassigned this quarter,Negotiation in progress,"$758,500"
1035,Printing & Publishing,Corporate Printing Services Agreement #2034,Malaysia,Metro Networks Sdn Bhd,Internal - Supply Chain,Volume discount tier applies above threshold spend,20-มี.ค.-2025,20-มี.ค.-2025,29-ต.ค.-2026,Nattapong W.,Budget approval pending for renewal,Negotiation in progress,"$190,300"
1036,Security,CCTV Monitoring Agreement #2035,France,Atlas Capital SAS,Alliance Capital SAS,Service level agreement reviewed annually,12-ธ.ค.-2023,12-ธ.ค.-2023,16-ส.ค.-2027,Suchada W.,Flagged for cost optimization review,Renewed,"$146,800"
1037,Printing & Publishing,Annual Report Design & Print Contract #2036,Taiwan,"Falcon Ventures Co., Ltd.",Internal - Legal Dept.,Includes 24/7 support SLA with penalty clauses,23-ธ.ค.-2022,30-ธ.ค.-2022,01-พ.ย.-2026,Chloe N.,Relationship manager reassigned this quarter,Upcoming renewal,"$159,500"
1038,Telecommunications,VoIP Services Agreement #2037,India,BlueSky Partners Pvt. Ltd.,Internal - Supply Chain,Pricing subject to annual CPI adjustment,16-ก.ค.-2025,16-ก.ค.-2025,26-พ.ย.-2028,Minji S.,Legal review in progress before renewal,Renewed,"$561,700"
1039,Security,CCTV Monitoring Agreement #2038,Hong Kong,Vertex Technologies Ltd.,Alliance Consulting Ltd.,Includes quarterly business review meetings,03-ก.ค.-2025,03-ก.ค.-2025,21-ก.ย.-2026,Laura A.,Scope extension being discussed with partner,Upcoming renewal,"$90,600"
1040,Fleet & Transportation,Corporate Shuttle Service Contract #2039,South Korea,"Meridian Industries Co., Ltd.",Internal - Marketing Dept.,"Multi-year framework agreement, reviewed yearly",09-ม.ค.-2024,16-ม.ค.-2024,12-ธ.ค.-2026,Michael C.,Flagged for cost optimization review,Negotiation in progress,"$49,700"
1041,Security,CCTV Monitoring Agreement #2040,Malaysia,Titan Technologies Sdn Bhd,Internal - E-commerce,"Multi-year framework agreement, reviewed yearly",21-ต.ค.-2026,28-ต.ค.-2026,18-ส.ค.-2028,Nathan T.,Relationship manager reassigned this quarter,Renewed,"$482,100"
1042,Training & Development,Leadership Development Engagement #2041,India,Zenith Partners Pvt. Ltd.,Vertex Trading Pvt. Ltd.,Service level agreement reviewed annually,28-ต.ค.-2022,28-ต.ค.-2022,08-ต.ค.-2026,Wei L.,"Renewal quote received, under internal review",Negotiation in progress,"$243,600"
1043,Cleaning & Facility,Office Facility Management Contract #2042,Japan,Meridian Partners K.K.,Internal - Legal Dept.,Exclusive regional distribution rights included,23-ต.ค.-2025,23-ต.ค.-2025,08-พ.ย.-2026,Priya W.,Relationship manager reassigned this quarter,Upcoming renewal,"$186,700"
1044,Security,Access Control System Contract #2043,Japan,Onyx Dynamics K.K.,Internal - E-commerce,Pricing subject to annual CPI adjustment,12-ธ.ค.-2023,12-ธ.ค.-2023,02-ก.ค.-2027,Tanawat M.,Relationship manager reassigned this quarter,Renewed,"$396,700"
1045,Construction & Maintenance,HVAC Maintenance Agreement #2044,China,"Orion Systems Co., Ltd.",Internal - HR Dept.,Renewal contingent on performance KPIs,14-พ.ย.-2022,21-พ.ย.-2022,02-ต.ค.-2026,Piyawan K.,"Renewal quote received, under internal review",Upcoming renewal,"$780,300"
1046,Software Licensing,CRM Platform Subscription Agreement #2045,Singapore,Onyx Holdings Pte Ltd,Alliance Innovations Pte Ltd,-,30-เม.ย.-2024,30-เม.ย.-2024,24-ต.ค.-2027,Wanida O.,-,Renewed,"$2,779,200"
1047,Construction & Maintenance,HVAC Maintenance Agreement #2046,Philippines,Evergreen Partners Inc.,Internal - Corporate Affairs,-,22-มี.ค.-2021,22-มี.ค.-2021,12-ส.ค.-2024,Daniel F.,Legal review in progress before renewal,Expired/Not renewed,"$1,323,100"
1048,HR & Payroll,Employee Benefits Administration #2047,Taiwan,"Onyx Partners Co., Ltd.",Internal - Legal Dept.,Includes quarterly business review meetings,17-ก.พ.-2022,17-ก.พ.-2022,08-เม.ย.-2024,Yuki H.,Alternative vendors being benchmarked,Expired/Not renewed,"$229,000"
1049,Legal,Compliance Advisory Agreement #2048,United Arab Emirates,Beacon Innovations LLC,Internal - HR Dept.,Includes 24/7 support SLA with penalty clauses,12-ก.ค.-2025,26-ก.ค.-2025,27-ธ.ค.-2027,Sarah A.,"Renewal quote received, under internal review",Renewed,"$489,300"
1050,Security,Access Control System Contract #2049,France,Solace Dynamics SAS,Internal - Corporate Affairs,Renewal contingent on performance KPIs,02-มิ.ย.-2024,16-มิ.ย.-2024,02-พ.ย.-2026,Ravi C.,"Renewal quote received, under internal review",Upcoming renewal,"$242,200"
1051,Consulting,Strategy Advisory Retainer #2050,United Arab Emirates,Sterling Partners LLC,Internal - E-commerce,"Auto-renew clause, 90 days notice required",01-ม.ค.-2025,01-ม.ค.-2025,03-ต.ค.-2026,James E.,Scope extension being discussed with partner,Upcoming renewal,"$500,700"
1052,Security,CCTV Monitoring Agreement #2051,Singapore,Apex Systems Pte Ltd,Emerald Dynamics Pte Ltd,Renewal contingent on performance KPIs,01-มิ.ย.-2024,01-มิ.ย.-2024,19-เม.ย.-2028,Ahmed G.,-,Renewed,"$104,600"
1053,Logistics,Freight Forwarding Contract #2052,Japan,Prime Systems K.K.,Metro Ventures K.K.,-,26-เม.ย.-2026,26-เม.ย.-2026,24-มี.ค.-2028,Michael D.,-,Renewed,"$1,576,000"
1054,Cleaning & Facility,Janitorial Services Agreement #2053,Cambodia,"BlueSky Trading Co., Ltd.","Horizon Technologies Co., Ltd.","Multi-year framework agreement, reviewed yearly",11-ส.ค.-2026,11-ส.ค.-2026,08-ก.ย.-2028,Tanawat I.,No issues reported this cycle,Renewed,"$218,100"
1055,Manufacturing Supply,Raw Material Supply Agreement #2054,United Arab Emirates,Horizon Enterprises LLC,Emerald Consulting LLC,Volume discount tier applies above threshold spend,04-ธ.ค.-2024,04-ธ.ค.-2024,10-ต.ค.-2026,Emily M.,Alternative vendors being benchmarked,Upcoming renewal,"$908,300"
1056,Training & Development,Leadership Development Engagement #2055,Indonesia,Summit Group PT,Internal - Procurement,"Auto-renew clause, 15 days notice required",11-เม.ย.-2025,11-เม.ย.-2025,11-พ.ย.-2026,Anucha D.,No issues reported this cycle,Upcoming renewal,"$274,900"
1057,Logistics,Warehouse Lease & Operation Agreement #2056,France,Vertex Services SAS,Ivory Dynamics SAS,Exclusive regional distribution rights included,26-ส.ค.-2026,26-ส.ค.-2026,09-พ.ย.-2027,Carlos W.,Budget approval pending for renewal,Renewed,"$1,050,800"
1058,Consulting,Digital Transformation Consulting #2057,Taiwan,"Global Holdings Co., Ltd.",Internal - IT Security,"Auto-renew clause, 90 days notice required",23-พ.ย.-2023,23-พ.ย.-2023,17-พ.ย.-2025,Kanokwan E.,Alternative vendors being benchmarked,Expired/Not renewed,"$144,500"
1059,Printing & Publishing,Corporate Printing Services Agreement #2058,Indonesia,Bright Solutions PT,Internal - Supply Chain,Pricing subject to annual CPI adjustment,04-ก.ย.-2025,18-ก.ย.-2025,23-ต.ค.-2026,Emily W.,Alternative vendors being benchmarked,Negotiation in progress,"$42,800"
1060,Marketing,Media Buying Agreement #2059,Thailand,"Silverline Trading Co., Ltd.",Internal - Procurement,"Multi-year framework agreement, reviewed yearly",26-มิ.ย.-2022,26-มิ.ย.-2022,10-ม.ค.-2026,Ploy A.,Budget approval pending for renewal,Expired/Not renewed,"$144,900"
1061,Waste Management,Waste Collection & Disposal Contract #2060,Australia,Lumen Trading Pty Ltd,Internal - Legal Dept.,Includes 24/7 support SLA with penalty clauses,18-ก.ย.-2022,18-ก.ย.-2022,02-ส.ค.-2024,Nattapong I.,Alternative vendors being benchmarked,Expired/Not renewed,"$50,800"
1062,Legal,Litigation Support Contract #2061,United States,Trident Holdings Inc.,Internal - E-commerce,Volume discount tier applies above threshold spend,30-ก.ค.-2025,06-ส.ค.-2025,09-ธ.ค.-2026,Minji B.,Alternative vendors being benchmarked,Upcoming renewal,"$435,500"
1063,Fleet & Transportation,Fleet Maintenance Agreement #2062,Thailand,"Zenith Industries Co., Ltd.",Internal - Operations,Includes quarterly business review meetings,16-ต.ค.-2025,16-ต.ค.-2025,31-ต.ค.-2026,Kanokwan K.,Scope extension being discussed with partner,Negotiation in progress,"$637,100"
1064,Logistics,Fleet Logistics Services Contract #2063,Malaysia,Prime Trading Sdn Bhd,Vanguard Innovations Sdn Bhd,Pricing subject to annual CPI adjustment,04-ต.ค.-2026,04-ต.ค.-2026,13-ก.พ.-2028,Ravi L.,Legal review in progress before renewal,Renewed,"$824,900"
1065,Manufacturing Supply,Component Manufacturing Contract #2064,Philippines,Metro Systems Inc.,Internal - Marketing Dept.,Volume discount tier applies above threshold spend,13-เม.ย.-2026,27-เม.ย.-2026,26-ก.ค.-2027,Hiroshi O.,"Renewal quote received, under internal review",Renewed,"$331,700"
1066,Logistics,Customs Brokerage Agreement #2065,Japan,Prime Networks K.K.,Internal - Marketing Dept.,"Auto-renew clause, 90 days notice required",04-ก.ย.-2022,04-ก.ย.-2022,01-มิ.ย.-2026,Grace I.,-,Expired/Not renewed,"$791,700"
1067,Printing & Publishing,Corporate Printing Services Agreement #2066,Malaysia,Orion Dynamics Sdn Bhd,Internal - Corporate Affairs,Exclusive regional distribution rights included,31-ม.ค.-2027,31-ม.ค.-2027,21-ก.ค.-2028,Kanokwan K.,"Renewal quote received, under internal review",Renewed,"$104,100"
1068,HR & Payroll,Employee Benefits Administration #2067,Singapore,Beacon Industries Pte Ltd,Internal - IT Dept.,Service level agreement reviewed annually,11-ส.ค.-2022,11-ส.ค.-2022,16-เม.ย.-2025,Yuki R.,Scope extension being discussed with partner,Expired/Not renewed,"$323,400"
1069,IT Services,Data Center Colocation Contract #2068,Thailand,"Pinnacle Networks Co., Ltd.",Internal - E-commerce,Volume discount tier applies above threshold spend,07-ม.ค.-2026,14-ม.ค.-2026,16-มิ.ย.-2028,Ahmed O.,-,Renewed,"$151,800"
1070,Construction & Maintenance,Elevator Maintenance Contract #2069,Japan,Quantum Ventures K.K.,Internal - Finance Dept.,Renewal contingent on performance KPIs,26-มี.ค.-2026,26-มี.ค.-2026,03-ก.ย.-2027,Chloe M.,Vendor performance review scheduled,Renewed,"$1,180,700"
1071,Travel & Events,Event Management Services Contract #2070,Thailand,"Apex Logistics Co., Ltd.","Vanguard Networks Co., Ltd.","Auto-renew clause, 60 days notice required",10-ต.ค.-2023,10-ต.ค.-2023,29-พ.ย.-2024,Kanokwan J.,No issues reported this cycle,Expired/Not renewed,"$320,100"
1072,Travel & Events,Conference Venue Agreement #2071,France,Alliance Systems SAS,Internal - Procurement,Includes quarterly business review meetings,09-ก.ย.-2025,23-ก.ย.-2025,09-ก.พ.-2027,Hiroshi T.,-,Negotiation in progress,"$305,300"
1073,Construction & Maintenance,Building Renovation Contract #2072,South Korea,"Meridian Services Co., Ltd.","Apex Systems Co., Ltd.",Volume discount tier applies above threshold spend,30-ก.ค.-2021,06-ส.ค.-2021,24-ก.ค.-2025,Priya W.,Relationship manager reassigned this quarter,Expired/Not renewed,"$1,286,800"
